X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD
-77.0001186271242,38.8461059086897,348,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/18 17:37:34+00,1970/01/01 00:00:00+00,2020/07/09 17:37:34+00,2020/06/18 17:37:34+00,,1970/01/01 00:00:00+00,,Open,,20-00212867,Standard,509 NEWCOMB STREET SE,399989.9,130921.79,38.84609847,-77.00011635,WASHINGTON,DC,20032,13616,8
-77.0288543610037,38.9564308469739,349,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/08 11:48:34+00,2020/06/09 14:03:34+00,2020/06/26 11:48:34+00,2020/06/08 11:48:34+00,1,2020/06/09 14:03:33+00,,Closed,,20-00198807,Standard,1217 KENNEDY STREET NW,397499.24,143169.14,38.95642338,-77.02885207,WASHINGTON,DC,20011,253073,4
-76.9964395799028,38.8890500305576,350,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/07 19:25:31+00,2020/06/09 13:25:27+00,2020/06/25 19:25:30+00,2020/06/07 19:25:31+00,1,2020/06/10 12:32:20+00,,Closed,,20-00198161,Standard,21 7TH STREET SE,400309.09,135688.91,38.88904224,-76.9964373,WASHINGTON,DC,20003,52001,6
-76.9959041670968,38.9474853380148,351,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/17 16:28:56+00,1970/01/01 00:00:00+00,2020/07/08 16:28:56+00,2020/06/17 16:28:56+00,,1970/01/01 00:00:00+00,,Open,,20-00211359,Standard,722 CRITTENDEN STREET NE,400355.25,142175.72,38.94747787,-76.99590188,WASHINGTON,DC,20017,77804,5
-77.0236049838501,38.9522181367075,352,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/20 22:02:57+00,1970/01/01 00:00:00+00,2020/07/09 22:02:57+00,2020/06/20 22:02:57+00,,1970/01/01 00:00:00+00,,Open,,20-00215010,Standard,5105 8TH STREET NW,397954.11,142701.36,38.95221067,-77.02360269,WASHINGTON,DC,20011,250091,4
-77.0399481447705,38.9158001454999,353,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/04 09:40:40+00,2020/06/05 12:38:04+00,2020/06/24 09:40:39+00,2020/06/04 09:40:40+00,1,2020/06/06 00:37:00+00,,Closed,,20-00194153,Standard,1735 T STREET NW,396535.71,138659.14,38.91579269,-77.03994585,WASHINGTON,DC,20009,295005,2
-76.981364435106,38.8889077074656,354,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/20 07:42:51+00,1970/01/01 00:00:00+00,2020/07/10 07:42:51+00,2020/06/20 07:42:51+00,,1970/01/01 00:00:00+00,,Open,,20-00214449,Standard,1614 A STREET SE,401616.97,135673.27,38.88890026,-76.98136216,WASHINGTON,DC,20003,59829,6
-77.0293456023115,38.9163172148982,355,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/05/22 11:10:50+00,2020/05/27 10:36:10+00,2020/06/12 11:10:50+00,2020/05/22 11:10:50+00,1,2020/05/27 10:33:00+00,,Closed,,20-00178206,Standard,1919 13TH STREET NW,397455.23,138716.19,38.91630976,-77.02934331,WASHINGTON,DC,20009,279477,1
-77.0061699997036,38.8335703939937,356,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/05 08:33:48+00,2020/06/11 08:58:27+00,2020/06/25 08:33:48+00,2020/06/05 08:33:48+00,1,2020/06/10 13:10:00+00,,Closed,,20-00195690,Standard,3829 1ST STREET SE,399464.49,129530.28,38.83356295,-77.00616772,WASHINGTON,DC,20032,30013,8
-77.0290097159253,38.9506320046797,357,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/05 08:38:55+00,2020/06/10 11:37:53+00,2020/06/25 08:38:55+00,2020/06/05 08:38:55+00,1,2020/06/10 11:37:52+00,,Closed,,20-00195708,Standard,1210 FARRAGUT STREET NW,397485.57,142525.42,38.95062454,-77.02900742,WASHINGTON,DC,20011,252867,4
