X,Y,DATE,SERVICEORDERSTATUS,STREETADDRESS,ZIPCODE,WARD
-77.0001186271242,38.8461059086897,June 2020,Open,509 NEWCOMB STREET SE,20032,8
-77.0288543610037,38.9564308469739,June 2020,Closed,1217 KENNEDY STREET NW,20011,4
-76.9964395799028,38.8890500305576,June 2020,Closed,21 7TH STREET SE,20003,6
-76.9959041670968,38.9474853380148,June 2020,Open,722 CRITTENDEN STREET NE,20017,5
-77.0236049838501,38.9522181367075,June 2020,Open,5105 8TH STREET NW,20011,4
-77.0399481447705,38.9158001454999,June 2020,Closed,1735 T STREET NW,20009,2
-76.981364435106,38.8889077074656,June 2020,Open,1614 A STREET SE,20003,6
-77.0293456023115,38.9163172148982,June 2020,Closed,1919 13TH STREET NW,20009,1
-77.0061699997036,38.8335703939937,June 2020,Closed,3829 1ST STREET SE,20032,8
-77.0290097159253,38.9506320046797,June 2020,Closed,1210 FARRAGUT STREET NW,20011,4
-76.9977736919376,38.9505078459503,June 2020,Closed,603 FARADAY PLACE NE,20017,5
-77.0313551676286,38.8950101397245,June 2020,Closed,1350 PENNSYLVANIA AVENUE NW,20004,2
-76.9875622266381,38.8959258737742,June 2020,Closed,1319 E STREET NE,20002,6
-77.0781140831486,38.957870714178,June 2020,Closed,3907 HUNTINGTON STREET NW,20015,3
-77.0211969011181,38.8814824697614,June 2020,Closed,629 G STREET SW,20024,6
-76.9832075011077,38.8644435221607,June 2020,Closed,1513 V STREET SE,20020,8
-77.0304366971711,38.916158118838,June 2020,Closed,1320 WALLACH PLACE NW,20009,1
-77.074329786826,38.9273582229831,June 2020,Closed,3716 GARFIELD STREET NW,20007,3
-77.005710196643,38.967135895674,June 2020,Closed,129 TUCKERMAN STREET NE,20011,4
-77.0275384745144,38.9022426553112,June 2020,Closed,1108 K STREET NW,20005,2
-77.0291103775007,38.9620884213966,June 2020,Open,1231 ROCK CREEK FORD ROAD NW,20011,4
-76.972659578328,38.8973350377921,June 2020,Closed,548 24TH STREET NE,20002,7
-77.0192098065165,38.9639681476085,June 2020,Open,423 QUACKENBOS STREET NW,20011,4
-77.020486523907,38.9486383856461,June 2020,Closed,523 DECATUR STREET NW,20011,4
-77.0262109429628,38.964310002095,June 2020,Closed,6106 9TH STREET NW,20011,4
-77.0013303877656,38.9153492537559,June 2020,Open,311 T STREET NE,20002,5
-76.9810002053708,38.8893232953494,June 2020,Closed,15 17TH STREET SE,20003,6
-76.9687491406607,38.8699410844802,June 2020,Closed,1624 27TH STREET SE,20020,7
-77.0428156023027,38.9203938295035,June 2020,Open,1820 BELMONT ROAD NW,20009,1
-76.9476385385796,38.9039648538443,June 2020,Open,3761 JAY STREET NE,20019,7
-77.014866587978,38.914211283158,June 2020,Closed,213 S STREET NW,20001,5
-77.0072353945393,38.9258922924139,June 2020,Closed,35 GIRARD STREET NE,20002,5
-77.0154587019708,38.9100631356998,June 2020,Closed,1504 3RD STREET NW,20001,5
-77.0124045860721,38.910170068624,June 2020,Closed,1518 1ST STREET NW,20001,5
-77.0278524027115,38.9119996139244,June 2020,Closed,1627 12TH STREET NW,20009,2
-77.0255104517997,38.9463072251717,June 2020,Open,4600 9TH STREET NW,20011,4
-76.9814163824343,38.8930319299539,June 2020,Closed,1647 C STREET NE,20002,6
-77.026299485748,38.9462886734121,June 2020,Closed,4601 GEORGIA AVENUE NW,20011,4
-76.9887129305277,38.9227294206466,June 2020,Closed,1226 BRENTWOOD ROAD NE,20018,5
-77.0304011326324,38.9374098278169,June 2020,Closed,1320 QUINCY STREET NW,20011,4
-77.0258511873743,38.9280976852527,June 2020,Closed,3007 SHERMAN AVENUE NW,20001,1
-77.0186042104595,38.9049808877117,June 2020,Closed,1123 5TH STREET NW,20001,6
-77.0170365049738,38.9571397747328,June 2020,Closed,324 MISSOURI AVENUE NW,20011,4
-77.0243210738508,38.9427828967053,June 2020,Closed,828 VARNUM STREET NW,20011,4
-77.0144293295747,38.9562698371744,June 2020,Closed,224 MISSOURI AVENUE NW,20011,4
-76.9868011427069,38.9079600546986,June 2020,Closed,1626 MONTELLO AVENUE NE,20002,5
-77.0085545575242,38.9112587119096,June 2020,Closed,2 Q STREET NE,20002,5
-76.9874721237704,38.8346261270718,June 2020,Closed,1200 BARNABY TERRACE SE,20032,8
-77.0319692997311,38.9370883536309,June 2020,Open,1367 SPRING ROAD NW,20010,4
-77.0220511738612,38.936005145596,June 2020,Closed,728 QUEBEC PLACE NW,20010,1
-76.9849709443457,38.8642194528583,June 2020,Closed,1422 W STREET SE,20020,8
-76.9928610572972,38.891638783838,June 2020,Closed,124 10TH STREET NE,20002,6
-77.0148997115488,38.9563004963522,June 2020,Closed,5429 KANSAS AVENUE NW,20011,4
-76.9798416751093,38.9068837347963,June 2020,Closed,1259 16TH STREET NE,20002,5
-77.0043786622212,38.9157542840548,June 2020,Closed,158 T STREET NE,20002,5
-77.0254728367844,38.9275599719498,June 2020,Closed,773 HOBART PLACE NW,20001,1
-77.0298906223257,38.9173162810675,June 2020,Closed,2006 13TH STREET NW,20009,1
-76.9528213834473,38.9066693873815,June 2020,Closed,3301 - 3730 BLOCK OF HAYES STREET NE,20019,7
-76.9895194118172,38.839932309499,June 2020,Closed,1200 MISSISSIPPI AVENUE SE,20032,8
-76.9681788350848,38.8511089136326,June 2020,Closed,2727 JASPER STREET SE,20020,8
-77.0282907873843,38.9245204578081,June 2020,Closed,1208 FAIRMONT STREET NW,20009,1
-77.0695993883476,38.9692374840683,June 2020,Closed,6011 BROAD BRANCH ROAD NW,20015,4
-77.0027485507867,38.8975444057613,June 2020,Closed,218 F STREET NE,20002,6
-77.0348335615434,38.9172089740507,June 2020,Open,2002 15TH STREET NW,20009,1
-77.0249470084976,38.9138894093003,June 2020,Closed,924 S STREET NW,20001,6
-76.9808198394081,38.8969550681175,June 2020,Closed,1650 F STREET NE,20002,6
-77.0462035413322,38.9338989783743,June 2020,Closed,2026 PIERCE MILL ROAD NW,20010,1
-76.9727790540877,38.8969068080033,June 2020,Closed,528 24TH STREET NE,20002,7
-77.0235756729427,38.9518456505369,June 2020,Open,734 GALLATIN STREET NW,20011,4
-76.9910910060608,38.904477021528,June 2020,Closed,1134 MORSE STREET NE,20002,5
-77.0200942184114,38.9291239630206,June 2020,Closed,512 IRVING STREET NW,20010,1
-77.0141430565861,38.9206417004365,June 2020,Open,158 BRYANT STREET NW,20001,5
-76.9819933624707,38.8891789582798,June 2020,Closed,22 16TH STREET SE,20003,6
-76.9357020774862,38.8884476549125,June 2020,Closed,114 46TH STREET SE,20019,7
-77.0686292379838,38.9154030645513,June 2020,Closed,1819 35TH STREET NW,20007,2
-76.99614225592,38.9604972504273,June 2020,Closed,5858 EASTERN AVENUE NE,20011,4
-77.024089891432,38.9574054221048,June 2020,Closed,8TH STREET NW AND LONGFELLOW STREET NW,20011,4
-76.9985611729278,38.9615174902489,June 2020,Closed,614 OGLETHORPE STREET NE,20011,4
-76.9913219676319,38.8909000830529,June 2020,Closed,119 11TH STREET NE,20002,6
-76.9959111974555,38.9033294451076,June 2020,Closed,1027 7TH STREET NE,20002,6
-77.0410080746476,38.9248643180962,June 2020,Closed,2722 ONTARIO ROAD NW,20009,1
-77.0098202780722,38.9142845136054,June 2020,Closed,17 S STREET NW,20001,5
-77.0310175297708,38.9260264973168,June 2020,Closed,1339 GIRARD STREET NW,20009,1
-76.9882582278425,38.905924053044,June 2020,Closed,1410 MONTELLO AVENUE NE,20002,5
-77.0198742929049,38.9320451252733,June 2020,Closed,463 LURAY PLACE NW,20010,1
-77.0260048334873,38.9307097013194,June 2020,Closed,832 LAMONT STREET NW,20010,1
-77.0272092759882,38.9549769468706,June 2020,Closed,1108 JEFFERSON STREET NW,20011,4
-77.0730459775834,38.9445847100908,June 2020,Closed,3710 WARREN STREET NW,20016,3
-77.0124246269979,38.9166672405354,June 2020,Closed,1934 1ST STREET NW,20001,5
-77.0160969709923,38.9513416455314,June 2020,Closed,5002 3RD STREET NW,20011,4
-76.9919928169911,38.83958883287,June 2020,Closed,3433 10TH PLACE SE,20032,8
-77.0081648535797,38.9153787034548,June 2020,Closed,21 T STREET NE,20002,5
-77.0267964832436,38.9289047072982,June 2020,Closed,1011 IRVING STREET NW,20010,1
-76.9992597852262,38.896836018003,June 2020,Closed,519 5TH STREET NE,20002,6
-77.0295128541651,38.9348387261435,June 2020,Closed,3607 13TH STREET NW,20010,1
-77.0043815871654,38.916441799994,June 2020,Closed,158 TODD PLACE NE,20002,5
-76.9985693741016,38.8574456277707,June 2020,Closed,2820 WADE ROAD SE,20020,8
-77.0219994543988,38.9422067361147,June 2020,Closed,707 UPSHUR STREET NW,20011,4
-77.0550829297309,38.9275716568279,June 2020,Closed,2827 27TH STREET NW,20008,3
-77.0396080300147,38.9343539768684,June 2020,Closed,1725 NEWTON STREET NW,20010,1
-77.0196428924475,38.9151522191779,June 2020,Closed,518 FLORIDA AVENUE NW,20001,6
-77.0313566160221,38.9190223449998,June 2020,Closed,1342 W STREET NW,20009,1
-77.0175907341232,38.9570209637333,June 2020,Closed,5515 4TH STREET NW,20011,4
-77.0348293004222,38.9106091964788,June 2020,Closed,1530 15TH STREET NW,20005,2
-76.9806027305563,38.9064383106382,June 2020,Closed,1228 16TH STREET NE,20002,5
-77.0282582804606,38.9239732101851,June 2020,Closed,1201 EUCLID STREET NW,20009,1
-77.0216889631235,38.9665738906262,June 2020,Closed,610 SOMERSET PLACE NW,20011,4
-77.0005924240838,38.8461358152699,June 2020,Closed,3008 5TH STREET SE,20032,8
-77.0046357518667,38.9168216715891,June 2020,Closed,151 U STREET NE,20002,5
-77.0651589747324,38.9089804814219,June 2020,Closed,3255 P STREET NW,20007,2
