X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD
-77.044391348684059,38.924602741403753,480,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-02-17T14:41:52.000Z,2020-02-24T09:06:32.000Z,2020-03-06T14:41:52.000Z,2020-02-17T14:41:52.000Z,1,2020-02-24T09:06:00.000Z,,Closed,,20-00059977,Standard,2721 ADAMS MILL ROAD NW,396150.85,139636.48,38.92459528,-77.04438905,WASHINGTON,DC,20009,236084,1
-77.074301288401728,38.937085324030967,481,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-03T15:21:38.000Z,,2020-03-23T16:21:38.000Z,2020-03-03T15:21:38.000Z,,,,Open,,20-00079003,Standard,3800 - 3814 BLOCK OF PORTER STREET NW,393558.370000004,141023.840003323,38.9370775311667,-77.0742989794591,WASHINGTON,DC,20016,801596,3
-77.023149913791727,38.951662957759005,482,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-04T08:24:34.000Z,2020-03-06T08:45:15.000Z,2020-03-24T09:24:34.000Z,2020-03-04T08:24:34.000Z,1,2020-03-05T11:31:00.000Z,,Closed,,20-00079564,Standard,5024 7TH PLACE NW,397993.54,142639.72,38.95165549,-77.02314762,WASHINGTON,DC,20011,250025,4
-77.004635727580705,38.882757997656327,483,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-04T20:03:30.000Z,2020-03-09T09:27:57.000Z,2020-03-24T21:03:30.000Z,2020-03-04T20:03:30.000Z,1,2020-03-09T09:24:00.000Z,,Closed,,20-00080805,Standard,138 DUDDINGTON PLACE SE,399597.98,134990.45,38.88275055,-77.00463344,WASHINGTON,DC,20003,65500,6
-77.032797788642512,38.96338733625101,484,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-02-21T00:12:25.000Z,2020-02-24T09:04:19.000Z,2020-03-11T01:12:25.000Z,2020-02-21T00:12:25.000Z,1,2020-02-22T00:02:00.000Z,,Closed,,20-00065219,Standard,1371 PEABODY STREET NW,397157.72,143941.49,38.96337987,-77.03279549,WASHINGTON,DC,20011,258185,4
-76.978319962994675,38.887021638148497,485,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-05T11:59:09.000Z,2020-03-05T15:16:34.000Z,2020-03-25T12:59:09.000Z,2020-03-05T11:59:09.000Z,1,2020-03-06T12:25:24.000Z,,Closed,,20-00081437,Standard,1816 BAY STREET SE,401881.15,135463.96,38.88701419,-76.97831769,WASHINGTON,DC,20003,55559,6
-77.014610605828182,38.943449775996015,486,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-03-06T12:10:19.000Z,2020-03-09T14:28:44.000Z,2020-03-26T13:10:18.000Z,2020-03-06T12:10:19.000Z,1,2020-03-09T11:05:00.000Z,,Closed,,20-00082761,Standard,211 VARNUM STREET NW,398733.59,141727.83,38.94344231,-77.01460832,WASHINGTON,DC,20011,244413,4
-77.004079405166848,38.917169684229798,487,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-02-15T21:42:04.000Z,2020-02-21T13:23:34.000Z,2020-03-06T21:42:04.000Z,2020-02-15T21:42:04.000Z,1,2020-02-21T13:23:33.000Z,,Closed,,20-00059244,Standard,168 U STREET NE,399646.42,138810.42,38.91716223,-77.00407712,WASHINGTON,DC,20002,58060,5
-77.03195558587511,38.914470001621865,86,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-02-24T14:08:09.000Z,,2020-03-13T15:08:09.000Z,2020-02-24T14:08:09.000Z,,,,Open,,20-00068612,Standard,1800 - 1823 BLOCK OF 14TH STREET NW,397228.810000002,138511.210003323,38.9144622117327,-77.0319532915032,WASHINGTON,DC,20009,810471,NULL
-76.993157568788817,38.92727698465422,87,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020-02-17T11:40:14.000Z,2020-02-21T08:38:00.000Z,2020-03-06T11:40:14.000Z,2020-02-17T11:40:14.000Z,1,2020-02-21T08:35:00.000Z,,Closed,,20-00059845,Standard,915 HAMLIN STREET NE,400593.51,139932.43,38.92726952,-76.99315529,WASHINGTON,DC,20017,82300,5
