X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD
-77.0183892227292,38.9171629032156,255,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/27 19:06:08+00,2020/07/02 09:15:07+00,2020/07/17 19:06:08+00,2020/06/27 19:06:08+00,1,2020/07/02 09:08:00+00,,Closed,,20-00223174,Standard,428 ELM STREET NW,398405.43,138809.82,38.91715545,-77.01838693,WASHINGTON,DC,20001,229615,1
-76.9806796044201,38.8984467400384,256,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 13:26:51+00,2020/06/30 08:08:13+00,2020/07/16 13:26:51+00,2020/06/25 13:26:51+00,1,2020/06/30 00:49:00+00,,Closed,,20-00220541,Standard,1630 GALES STREET NE,401676.16,136732.19,38.89843929,-76.98067733,WASHINGTON,DC,20002,59017,6
-77.0199923388147,38.9396604524633,257,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 07:41:40+00,2020/06/30 10:59:21+00,2020/07/17 07:41:40+00,2020/06/26 07:41:40+00,1,2020/06/30 10:59:20+00,,Closed,,20-00221283,Standard,524 SHEPHERD STREET NW,398266.95,141307.27,38.93965299,-77.01999005,WASHINGTON,DC,20011,247704,4
-77.0202471157371,38.9379564894486,258,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 07:45:05+00,2020/06/30 11:31:01+00,2020/07/17 07:45:05+00,2020/06/26 07:45:05+00,1,2020/06/30 11:31:01+00,,Closed,,20-00221286,Standard,537 QUINCY STREET NW,398244.82,141118.12,38.93794903,-77.02024482,WASHINGTON,DC,20011,247740,4
-77.0212574073875,38.8814789454912,259,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/27 11:30:15+00,2020/07/06 19:00:37+00,2020/07/17 11:30:15+00,2020/06/27 11:30:15+00,1,2020/07/06 19:00:00+00,,Closed,,20-00222841,Standard,631 G STREET SW,398155.77,134848.67,38.8814715,-77.02125512,WASHINGTON,DC,20024,2849,6
-77.021944352338,38.9663028748945,260,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/28 18:45:17+00,2020/07/02 08:56:28+00,2020/07/17 18:45:17+00,2020/06/28 18:45:17+00,1,2020/07/30 13:05:00+00,,Closed,,20-00223606,Standard,617 SHERIDAN STREET NW,398098.43,144264.86,38.96629541,-77.02194206,WASHINGTON,DC,20011,251464,4
-77.0081033520711,38.9150005378126,261,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/28 18:48:20+00,2020/07/01 07:27:57+00,2020/07/17 18:48:20+00,2020/06/28 18:48:20+00,1,2020/07/01 07:27:00+00,,Closed,,20-00223609,Standard,24 SEATON PLACE NE,399297.43,138569.65,38.91499308,-77.00810107,WASHINGTON,DC,20002,47797,5
-77.0117390076722,38.9139103103944,262,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 10:21:37+00,2020/06/30 10:14:28+00,2020/07/16 10:21:37+00,2020/06/25 10:21:37+00,1,2020/06/30 10:14:27+00,,Closed,,20-00220118,Standard,82 S STREET NW,398982.11,138448.66,38.91390285,-77.01173672,WASHINGTON,DC,20001,227030,5
-77.0294520857326,38.9326410754434,263,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/28 05:50:31+00,2020/06/30 09:57:25+00,2020/07/17 05:50:30+00,2020/06/28 05:50:31+00,1,2020/06/30 09:57:25+00,,Closed,,20-00223313,Standard,3501 13TH STREET NW,397446.58,140528.28,38.93263362,-77.02944979,WASHINGTON,DC,20010,230645,1
-77.0270938669838,38.9542696444348,264,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 17:02:48+00,2020/06/26 13:17:02+00,2020/07/16 17:02:48+00,2020/06/25 17:02:48+00,1,2020/06/26 13:17:02+00,,Closed,,20-00220987,Standard,925 INGRAHAM STREET NW,397651.76,142929.18,38.95426218,-77.02709157,WASHINGTON,DC,20011,254642,4
